floor,building,num_strongest_APs,min_AP_strength,min_strong_overlap,gain_error
3,0,4,-90,5,7.6063
3,0,4,-90,6,7.6063
3,0,5,-90,2,1.9045
3,0,5,-90,3,1.3909
3,0,5,-90,4,0.048647
3,0,5,-90,5,7.6063
3,0,5,-90,6,7.6063
3,0,7,-90,2,1.7214
3,0,7,-90,3,2.249
3,0,7,-90,4,1.1192
3,0,7,-90,5,0.2872
3,0,7,-90,6,0.30506
3,0,10,-90,2,1.7947
3,0,10,-90,3,1.8646
3,0,10,-90,4,1.7613
3,0,10,-90,5,1.7362
3,0,10,-90,6,1.1931
3,0,2,-80,2,7.6063
3,0,2,-80,3,7.6063
3,0,2,-80,4,7.6063
3,0,2,-80,5,7.6063
3,0,2,-80,6,7.6063
3,0,3,-80,2,1.9143
3,0,3,-80,3,7.6063
3,0,3,-80,4,7.6063
3,0,3,-80,5,7.6063
3,0,3,-80,6,7.6063
3,0,4,-80,2,2.1802
3,0,4,-80,3,2.1291
3,0,4,-80,4,7.6063
3,0,4,-80,5,7.6063
3,0,4,-80,6,7.6063
3,0,5,-80,2,2.8966
3,0,5,-80,3,2.0509
3,0,5,-80,4,0.70101
3,0,5,-80,5,7.6063
3,0,5,-80,6,7.6063
3,0,7,-80,2,3.8755
3,0,7,-80,3,3.6529
3,0,7,-80,4,2.2816
3,0,7,-80,5,1.269
3,0,7,-80,6,1.294
3,0,10,-80,2,5.2223
3,0,10,-80,3,5.0103
3,0,10,-80,4,4.7863
3,0,10,-80,5,4.4508
3,0,10,-80,6,3.568
3,0,2,-70,2,7.6063
3,0,2,-70,3,7.6063
3,0,2,-70,4,7.6063
3,0,2,-70,5,7.6063
3,0,2,-70,6,7.6063
3,0,3,-70,2,2.9845
3,0,3,-70,3,7.6063
3,0,3,-70,4,7.6063
3,0,3,-70,5,7.6063
